baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NBDY	59908.8260548757	0.0483604763786144	0.301687412724783	0.0256957120267884	0.87264568754097	0.925164651417522
HR	287994.130459028	-1.65149650412252	0.533888803321079	9.0877886288016	0.00257321820365484	0.00994205290873887
ATXN7L2	28498.9822357749	0.254144417981561	0.289583762821096	0.769230451331396	0.380455223682127	0.531019702051109
NEK9	415474.567060773	0.230992270293615	0.163350469456515	1.99752373895527	0.157556424492101	0.275809704474311
GLIS2	68888.0632292672	0.55493761294992	0.289189442449854	3.65987643455114	0.0557377666072353	0.121520450973397
ZNF396	10701.5128655169	-0.923664359064793	0.275840149905598	11.0267789497933	0.000898050553450257	0.00408986161651711
CTNNB1	1924757.52159016	0.182793017580209	0.221532505083671	0.680387799584253	0.409453218725417	0.559583297989746
KLHL36	284411.398271076	0.210085748133342	0.174483103927983	1.44845031657692	0.228776775162153	0.364739059441158
VPS54	138143.608145472	0.175609797652413	0.16498245821757	1.13228651096506	0.287288147015194	0.432420577978568
MTX1	141902.746013116	0.0245962289368448	0.207223080762038	0.0140886252467567	0.905516590055043	0.944635316365591
NDUFAF8	78708.9840523689	0.118254607314688	0.174670385920895	0.458223747067933	0.498455279365588	0.644790453584051
MEIS2	29733.0195636947	-0.0131622116660329	0.318651469201628	0.00170598563960311	0.967053879864072	0.981200958566367
AC008758.6	3513.76468641624	0.267258872072123	0.359465653956712	0.551963685228486	0.457516441699245	0.60711507105728
DUOX2	330574.322148521	-1.75685826004839	1.10145861962188	2.40086954863403	0.121267826871734	0.225054837335944
CLEC16A	193657.23317204	-0.261398444437449	0.13266576476573	3.87699015384769	0.0489522409527207	0.109748437639658
MYBPC1	5221.67635887098	-0.130642226594363	0.913481554357863	0.0204448629494038	0.886301605946395	0.933670891800665
VAMP2	228319.777459161	-1.22151779315808	0.184459354493236	42.6027748379552	6.70641797953216e-11	1.40918798752151e-09
BLOC1S5-TXNDC5	1903985.33114461	-0.740643279977203	0.305382146992279	5.81858488197804	0.0158576983056557	0.0448297082502363
ZNF131	117793.829218935	0.189257935348483	0.175921972993987	1.1565339383161	0.282185532663873	0.426584799419518
DNAH1	118973.442387035	-0.422710524218765	0.3213244777251	1.72444298600251	0.189122138252747	0.316014340062035
GJD2	30.6639306651377	-8.52403808042838	3.02746649387946	5.08826855081053	0.0240882301116418	0.0628132519193893
NDFIP1	550323.753989559	0.100509820191925	0.163638596249641	0.37718950794266	0.539111215365268	0.678356486991804
GLI3	20573.7317634136	-0.792179511238899	0.484406768973565	2.64148975353891	0.104105880743832	0.199278833144113
OR7C1	7.83055308867513	-20.6170472307727	3.03118241673349	2.98609775174786	NA	NA
SAMD4A	99071.2091779195	0.922454871127491	0.253954563632707	12.9753815517802	0.000315613534675752	0.00167513063901983
KDR	141677.187536062	1.26507516177289	0.263965767525329	22.2687768407104	2.37029551852001e-06	2.24484507295563e-05
KRTAP3-3	7.70933545840338	6.24723451964196	3.03026496687164	3.51318622937863	NA	NA
AKR1B15	20325.960624087	-4.49452553975462	0.745123543386824	27.2351835876125	1.80150362913295e-07	2.17228368979567e-06
EPHX3	2331.61347083993	0.420899902119827	0.811454162525896	0.268101552178223	0.604608119362552	0.732638107988159
B4GALNT1	14850.6314598349	-0.357375993005457	0.361689612213011	0.973816371007075	0.323730227768688	0.472844507331528
TBC1D21	1.51949774307761	1.14213371028044	2.99900142326384	0.144907196540704	0.70345052275406	0.80883428642339
AC092647.5	66991.2177128571	0.701528843289805	0.22724710008974	9.43772422714224	0.00212567101017517	0.00846460273402152
RAD9A	129914.076838516	-0.538655550099939	0.222375107950242	5.83368702905486	0.0157221386107071	0.0444942069686971
SDS	171924.391194778	3.32237813655825	0.528458006198449	33.0074001413924	9.1808760316279e-09	1.38607186503685e-07
FBXW8	88867.2039847353	0.401179113124788	0.286436993490071	1.95536000100222	0.162010428539951	0.281496552659027
DDX41	351095.664350753	-0.189019205876113	0.120938158043471	2.44103527511535	0.118198193605385	0.220533826236423
AMFR	473833.11825183	0.0501281169450576	0.213023332967159	0.0553724093913956	0.813965473682172	0.888045477466729
POPDC2	7426.65195468111	-0.0533466964228521	0.351434750448688	0.0230408685107761	0.879350843360179	0.929533244092818
ADAMTSL3	59474.162019406	1.11627539221822	0.402563846037257	7.50464754192362	0.00615399823763853	0.0205605058830484
ETV7	35075.9218778969	-0.0171321779650317	0.405934785201646	0.00178093469835972	0.966338368129264	0.980906550405326
RFTN2	11089.4314309552	0.230748212658379	0.31216595865578	0.545833237294829	0.460025247028103	0.609348490983736
LRRC27	31285.4159876808	0.0715413391062078	0.293913099046532	0.0592437638734395	0.807695219404593	0.88439486633007
TCTN2	42571.1857761561	0.259030219711586	0.299603387180695	0.746498931084858	0.387586958749473	0.538278356252168
MAT2A	1030009.16415358	0.139913739582442	0.18561547432733	0.567968865739317	0.451067165729793	0.601377914577634
RBM10	404189.487043353	-0.303349254356266	0.148983687125863	4.13818258491733	0.0419261597582307	0.096977898869057
GPR173	7015.05709779727	-0.162543905671599	0.434945899592344	0.139587899725484	0.708691039843078	0.812644725841565
UGT1A8	547335.482593565	0.481295801268093	0.285064099417729	2.83750468627323	0.0920871178512243	0.180889612141955
SLC4A5	18518.7020914518	-0.083171974643742	0.190721572390466	0.190148406689701	0.662793128629509	0.778597289403745
GBA	327232.409133687	-0.648865039035425	0.189761238329207	11.5949073892059	0.000661326676133442	0.00315837842298366
MFSD12	294590.263213747	0.401948921873725	0.236047742402273	2.89030383737901	0.0891141180442976	0.176288479927005
AC018630.6	19657.3450725423	0.00567151569965604	0.222886880846208	0.000647564251096355	0.979698196312312	0.98880967360172
DDX10	120678.369962885	0.650880391363599	0.279626784280542	5.3727787948842	0.0204533683011119	0.0548704655790627
ISLR2	12348.9692410618	0.794607316229528	0.523621737300109	2.27438988763214	0.131526875500936	0.239303681076605
DYNC1I2	428729.713273488	0.0155011479875671	0.134195958799944	0.0133431071883194	0.908039017757637	0.945779362479958
LRRC40	64215.6892941814	0.384041894671769	0.208552356364976	3.38104696518528	0.0659501487910091	0.139068955885853
ADAM11	2309.16419546595	-0.415062511140111	0.567794052092706	0.532520562829632	0.465549086044934	0.614679387994203
PINX1	39636.7117669371	0.455816545215111	0.238174698202263	3.64750345415396	0.0561533240665093	0.122180997252392
TRAPPC5	164822.015716437	-0.543066542081447	0.222821038005238	5.90534540155787	0.0150950054452351	0.0430229809144356
