Type	Sex	Age	Year	Non-Hodgkin lymphoma	Prostate	Oral	Kaposi	Leukaemia	Hodgkin lymphoma	Colorectum	Nasal	Oesophagus	Penis	Stomach	Testis	Biliary	Eye	Mesothelioma	Liver	Brain	Kidney	Non-melanoma skin	Thyroid	Multiple myeloma	Thymus	Bladder	Small intestine	Sarcoma	Pancreas	Nasopharynx	Breast	Melanoma	Lung	Larynx	Cervix	Placenta	Uterus	Ovary	Vulva
incidence	male	0-19	1990-1999	137	0	18	0	356	35	15	4	0	2	5	61	0	29	0	58	212	24	8	22	1	12	6	0	137	4	33	0	3	6	1	0	0	0	0	0
incidence	male	20-44	1990-1999	596	10	324	0	509	64	1087	53	158	19	429	275	36	8	0	1741	368	141	211	250	43	71	165	31	320	106	3049	6	50	1036	86	0	0	0	0	0
incidence	male	45-64	1990-1999	997	481	1165	0	453	47	4644	109	1873	78	1990	80	322	9	0	5702	393	530	613	288	210	70	1266	102	281	514	3724	28	82	8420	824	0	0	0	0	0
incidence	male	65+	1990-1999	1210	3073	1055	0	623	41	8058	120	2203	184	3634	129	830	21	0	4806	318	721	968	194	421	59	2920	131	261	887	1212	35	107	15152	1265	0	0	0	0	0
incidence	male	0-19	2000-2009	111	0	6	0	329	32	5	7	0	0	6	57	0	38	0	33	206	20	4	21	1	16	2	0	118	1	16	0	1	3	0	0	0	0	0	0
incidence	male	20-44	2000-2009	454	6	312	9	437	119	957	38	82	18	331	395	31	8	5	1116	267	221	220	333	38	96	103	34	307	71	2114	9	41	772	37	0	0	0	0	0
incidence	male	45-64	2000-2009	1216	1588	1354	4	642	77	6418	161	1528	71	1954	65	297	18	34	6015	372	1071	917	447	326	137	900	113	367	780	3750	52	98	7909	658	0	0	0	0	0
incidence	male	65+	2000-2009	1756	8676	1416	8	864	77	13352	137	2126	199	4256	44	1134	13	77	5808	299	1275	1835	278	674	94	3103	163	316	1440	1177	96	137	18870	1125	0	0	0	0	0
incidence	male	0-19	2010-2019	106	1	9	0	338	53	6	3	0	0	2	53	0	26	0	24	155	31	1	17	0	23	2	1	110	1	21	0	0	2	0	0	0	0	0	0
incidence	male	20-44	2010-2019	487	18	304	25	401	163	1005	41	54	21	192	587	28	10	4	659	276	293	291	496	26	68	18	46	299	109	1339	14	47	541	29	0	0	0	0	0
incidence	male	45-64	2010-2019	1910	4128	1941	18	1033	87	10034	174	1321	154	2158	100	530	28	51	6500	511	1978	1782	834	525	137	648	293	527	1402	3653	72	186	9523	684	0	0	0	0	0
incidence	male	65+	2010-2019	2633	14703	1813	12	1381	114	18003	154	1982	279	4720	15	1568	15	154	6716	380	1977	2975	424	910	85	2399	336	507	2302	1207	107	195	20588	1043	0	0	0	0	0
incidence	female	0-19	1990-1999	75	0	21	0	296	10	2	1	0	0	1	0	0	33	0	37	149	25	2	80	1	3	2	1	128	2	13	6	2	7	0	0	1	2	77	1
incidence	female	20-44	1990-1999	444	0	241	0	393	61	932	31	48	0	492	0	52	11	0	353	283	98	156	1294	19	38	62	22	283	60	1380	4228	44	597	13	1263	13	478	854	49
incidence	female	45-64	1990-1999	594	0	364	0	312	19	3166	57	254	0	826	0	246	9	0	1093	238	256	374	788	150	38	246	53	232	290	1157	5311	58	2629	59	1839	0	1362	970	96
incidence	female	65+	1990-1999	1120	0	485	0	534	33	7728	93	761	0	2319	0	909	16	0	2244	284	503	1249	479	417	38	1199	116	232	875	536	4122	102	8428	130	1574	0	729	776	235
incidence	female	0-19	2000-2009	43	0	20	0	219	30	5	5	1	0	2	0	0	14	0	13	132	15	4	81	0	1	0	0	105	0	6	4	2	5	0	4	0	2	108	2
incidence	female	20-44	2000-2009	461	0	254	2	405	122	938	36	13	0	379	0	34	12	8	212	223	120	182	1659	21	64	39	24	322	62	942	5887	41	625	5	1204	8	821	1299	44
incidence	female	45-64	2000-2009	888	0	454	0	469	33	4430	74	190	0	971	0	287	10	12	1041	265	482	580	1570	185	116	179	80	300	461	1187	11833	102	3397	37	1676	3	3071	1846	147
incidence	female	65+	2000-2009	1409	0	768	0	723	35	10810	92	725	0	2512	0	1190	8	14	2637	237	830	2476	595	559	65	1090	153	247	1329	465	5774	118	9517	85	1329	0	1130	891	336
incidence	female	0-19	2010-2019	57	0	9	0	237	32	5	6	0	0	0	0	0	14	0	21	119	19	4	103	0	5	2	1	86	3	6	1	3	0	0	0	0	3	84	1
incidence	female	20-44	2010-2019	475	0	259	0	443	174	1057	37	16	0	318	0	36	9	10	168	223	135	303	2291	24	30	17	38	330	92	583	6658	70	647	7	1294	12	1165	1466	57
incidence	female	45-64	2010-2019	1561	0	920	4	786	58	7200	105	174	0	1653	0	452	16	34	1168	394	887	1168	3200	399	81	188	221	509	923	1145	22096	128	6312	47	2288	3	6582	3166	235
incidence	female	65+	2010-2019	1883	0	1091	5	913	58	13119	102	624	0	2809	0	1500	20	24	3007	283	1203	3268	940	636	67	872	251	351	2101	389	10337	179	10872	84	1269	0	1864	1128	486
mortality	male	0-19	1990-1999	25	0	1	0	120	0	10	0	0	0	0	2	0	3	0	36	76	2	0	1	0	7	0	1	41	3	6	0	2	1	0	0	0	0	0	0
mortality	male	20-44	1990-1999	179	3	79	0	297	11	347	11	86	3	220	23	14	1	0	1059	156	47	4	4	18	28	6	8	98	78	771	0	17	605	16	0	0	0	0	0
mortality	male	45-64	1990-1999	380	131	501	0	296	12	1708	42	1341	10	1074	5	169	2	0	4118	268	208	18	34	122	38	240	40	99	476	1673	5	46	5828	248	0	0	0	0	0
mortality	male	65+	1990-1999	651	1158	545	0	471	16	3969	55	1652	31	2452	15	548	3	0	4161	240	385	47	70	297	49	1036	53	153	918	735	13	72	12819	575	0	0	0	0	0
mortality	male	0-19	2000-2009	17	0	1	0	81	0	4	1	0	1	1	1	0	2	0	19	63	2	0	0	0	2	0	0	30	0	2	0	0	0	0	0	0	0	0	0
mortality	male	20-44	2000-2009	145	2	62	1	209	9	289	9	53	3	140	9	10	1	5	777	99	34	5	10	17	21	9	6	94	49	452	1	16	514	7	0	0	0	0	0
mortality	male	45-64	2000-2009	461	160	465	0	378	11	2116	32	1010	9	1046	5	111	5	24	4432	205	312	21	35	137	42	175	34	116	680	1551	3	55	5894	160	0	0	0	0	0
mortality	male	65+	2000-2009	1119	2299	743	1	766	23	6541	62	1798	43	2814	8	592	3	54	5658	209	628	72	101	493	58	1209	89	161	1339	867	26	85	17272	501	0	0	0	0	0
mortality	male	0-19	2010-2019	15	0	1	0	62	0	1	0	0	0	0	1	1	3	0	11	28	3	0	1	0	2	0	0	27	0	2	0	0	0	0	0	0	0	0	0
mortality	male	20-44	2010-2019	83	3	63	4	152	2	221	2	30	1	97	11	5	2	0	405	107	36	2	6	5	20	4	4	89	60	239	2	12	308	6	0	0	0	0	0
mortality	male	45-64	2010-2019	542	279	563	2	491	11	2950	50	914	18	996	4	181	8	38	4291	288	447	25	45	190	81	166	57	209	1100	1413	8	79	6527	151	0	0	0	0	0
mortality	male	65+	2010-2019	1473	3638	824	0	1138	35	8484	60	1640	39	2955	2	595	2	140	6478	206	895	93	151	571	74	1272	151	336	2191	812	25	128	18695	426	0	0	0	0	0
mortality	female	0-19	1990-1999	16	0	1	0	93	0	1	0	0	0	1	0	0	3	0	15	59	4	1	0	0	2	0	0	39	1	1	0	0	2	0	0	0	0	1	0
mortality	female	20-44	1990-1999	118	0	30	0	215	3	302	7	12	0	269	0	20	1	0	187	104	22	2	10	7	9	6	6	68	33	242	644	14	379	0	193	7	18	139	4
mortality	female	45-64	1990-1999	194	0	75	0	212	1	1100	12	118	0	451	0	141	1	0	737	113	81	6	47	74	11	40	15	97	266	421	1284	25	1821	14	494	0	119	431	22
mortality	female	65+	1990-1999	605	0	193	0	452	11	3633	49	505	0	1544	0	663	3	0	1915	197	265	42	175	273	38	486	52	149	875	302	1504	50	7182	49	748	0	149	520	71
mortality	female	0-19	2000-2009	8	0	1	0	46	1	1	0	0	0	0	0	0	2	0	4	42	1	2	0	0	0	0	0	29	0	0	0	1	2	0	0	0	0	3	0
mortality	female	20-44	2000-2009	104	0	40	0	165	5	266	5	9	0	210	0	12	6	3	143	77	23	3	8	6	13	3	6	65	42	159	691	11	383	1	162	4	23	155	16
mortality	female	45-64	2000-2009	256	0	100	0	288	4	1341	14	103	0	561	0	125	5	9	717	145	127	4	40	88	32	31	26	106	382	385	2112	49	2163	9	415	1	198	601	53
mortality	female	65+	2000-2009	895	0	297	0	655	14	5204	40	585	0	1712	0	731	1	16	2712	158	467	72	215	388	44	482	95	152	1317	305	1809	89	8732	46	670	0	205	649	133
mortality	female	0-19	2010-2019	5	0	2	0	42	1	4	0	0	0	0	0	0	0	0	6	29	2	0	1	0	0	0	0	20	0	1	0	1	2	0	0	0	0	1	0
mortality	female	20-44	2010-2019	81	0	32	0	145	5	218	1	5	0	158	0	7	0	7	92	67	14	1	6	4	12	2	1	82	50	77	525	23	304	0	167	4	43	167	18
mortality	female	45-64	2010-2019	312	0	170	1	311	7	1955	17	93	0	731	0	170	0	13	759	196	166	16	44	101	43	51	35	219	713	345	3452	73	3460	2	622	3	517	1056	107
