No.	Fund	Ref. No.	Project Title	Applicant(s)
1	Health Services Research Fund (HSRF)	1030421	Hepatitis B or Hepatitis C Viral Infection and Genotypes - Which Subgroup Is More Prone To The Development of Hepatocellular Carcinoma? A Systematic Review	Huang JQ
2	HMRF - Advanced Medical Research	1120166	Functional studies of long non-coding RNA HOTAIR mediated tumorigenesis and angiogenesis in nasopharyngeal carcinoma	Zhang JF
3	HMRF - Advanced Medical Research	1120216	Targeting H3K27 trimethylation epigenome for liver cancer prevention	Cheng ASL
4	HMRF - Advanced Medical Research	1120226	Determination of association between serum folate level and toxicity of capecitabine in patients with colorectal cancers: A prospective cohort study	Chan SL
5	HMRF - Advanced Medical Research	1120446	Functional Characterization of PCDH10 in Endometrioid Endometrial Adenocarcinoma	Wang HT
6	HMRF - Advanced Medical Research	1120886	The serum amyloid A1 (SAA1) Polymorphisms as Risk Factors in Esophageal Squamous Cell Carcinoma	Lung HL
7	HMRF - Advanced Medical Research	1121026	Detection of methylated Septin 9 DNA in blood for diagnosis, prognosis and surveillance of patients with colorectal cancer	LEUNG Wai-keung
8	HMRF - Advanced Medical Research	1121306	Identification of cancer metastasis and drug resistance pathways through comparison of primary and metastatic lung adenocarcinomas by next generation sequencing analysis	Wong Maria Pik
9	HMRF - Advanced Medical Research	1121336	p53 related proteins and gestational trophoblastic disease	CHEUNG Nga-Yin
10	HMRF - Advanced Medical Research	1121356	Application of an EGFR array for the detection of Epidermal Growth Factor Receptor (EGFR) gene mutation in patients with Non-Small Cell Lung Cancer (NSCLC)	Lam DCL
11	HMRF - Advanced Medical Research	1121366	Cellular functions and potential clinical application of miR-143 in cervical cancer	Wong Oscar Gee-Wan
12	HMRF - Advanced Medical Research	1121376	Screening of founder and recurrent BRCA mutations in Hong Kong and US Chinese populations	Kwong A
13	HMRF - Advanced Medical Research	1121436	Statistical method to identify risk genes of complex diseases based on functional gene sets and networks, with a genetic data mining application to hepatocellular carcinoma	Li MX
14	HMRF - Advanced Medical Research	1121496	Elucidating the genetic basis for early-age onset nasopharyngeal carcinoma in Hong Kong	Lung Maria
15	HMRF - Advanced Medical Research	1121526	iASPP and autophagy - novel molecular targets for ovarian clear cell carcinoma	Chan KK
16	HMRF - Advanced Medical Research	1121536	The role of NKG2D-MICA on NK cell immunosurveillance of hepatocellular carcinoma	Cheung PFY
17	HMRF - Advanced Medical Research	1121566	The roles of drug transporters on chemo-resistance and stem-like cell properties in liver cancer	Dr CHEUNG Siu-tim
18	HMRF - Advanced Medical Research	1121626	The use of Epstein-Barr virus (EBV) encoded microRNA in supplement with EBV DNA as serological marker in screening undifferentiated nasopharyngeal carcinoma patients	Chan JYW
19	HMRF - Advanced Medical Research	1121726	Study of Population Specific Linkage Disequilibrium (LD) Patterns of Human Major Histocompatibility Complex (MHC) Region for Cancers, Infectious and Autoimmunity Diseases in Southern Chinese	Song YQ
20	HMRF - Advanced Medical Research	1121776	Interaction of granulin-epithelin precursor with heparan sulfate on activation of signaling pathways in hepatocellular carcinoma	Yip CW
21	HMRF - Advanced Medical Research	1121886	Evaluation of a novel clinicopathological marker JK-1 for human esophageal carcinoma	Tang JCO
22	HMRF - Advanced Medical Research	1121936	Development of PEGylated recombinant human arginase as a drug to treat breast cancer	Leung YC
23	HMRF - Advanced Medical Research	1121986	Computational Platform for Modelling, Analysis and Prediction of Anti-EGFR Drug Resistance for Lung Cancer	Yan H
24	HMRF - Advanced Medical Research	1122246	Potential anti-tumor and anti-metastasis efficacy of novel Notch inhibitor (PF-03084014) in liver cancer models	Wang XQ
25	HMRF - Advanced Medical Research	1122266	The role of alternative-activated macrophages (M2 macrophages) on tumor growth and metastasis in hepatocellular carcinoma	Man K
26	HMRF - Health and Health Services (former HHSRF)	2030031	Effects of psycho-educational interventions in managing chemotherapy-associated nausea and vomiting (CANV) in pediatric oncology patients: a pilot project	Chan WHC
27	HMRF - Health and Health Services (former HHSRF)	2030081	Development and validation of prompted stair climbing as an intervention to increase healthy lifestyle activity in Hong Kong	Masters R
